년도,격자코드,구분,총인구
2024,다라003954,to_in_001,5
2024,다라003956,to_in_001,13
2024,다라003964,to_in_001,0
2024,다라003991,to_in_001,5
2024,다라004180,to_in_001,5
2024,다라004181,to_in_001,5
2024,다라004200,to_in_001,5
2024,다라004201,to_in_001,5
2024,다라004202,to_in_001,8
2024,다라004203,to_in_001,13
2024,다라004204,to_in_001,5
2024,다라004210,to_in_001,5
2024,다라004215,to_in_001,8
2024,다라004311,to_in_001,5
2024,다라004317,to_in_001,8
2024,다라004322,to_in_001,5
2024,다라004400,to_in_001,13
2024,다라004401,to_in_001,8
2024,다라004449,to_in_001,5
2024,다라004453,to_in_001,8
2024,다라004454,to_in_001,23
2024,다라004455,to_in_001,8
2024,다라004456,to_in_001,8
2024,다라004461,to_in_001,167
2024,다라004462,to_in_001,5
2024,다라004463,to_in_001,50
2024,다라004468,to_in_001,5
2024,다라004469,to_in_001,86
2024,다라004473,to_in_001,48
2024,다라004475,to_in_001,5
2024,다라004477,to_in_001,5
2024,다라004506,to_in_001,5
2024,다라004515,to_in_001,5
2024,다라004516,to_in_001,0
2024,다라004520,to_in_001,5
2024,다라004527,to_in_001,5
2024,다라004535,to_in_001,0
2024,다라004536,to_in_001,5
2024,다라004537,to_in_001,8
2024,다라004538,to_in_001,8
2024,다라004539,to_in_001,8
2024,다라004570,to_in_001,0
2024,다라004572,to_in_001,8
2024,다라004573,to_in_001,5
2024,다라004581,to_in_001,5
2024,다라004582,to_in_001,8
2024,다라004583,to_in_001,13
2024,다라004584,to_in_001,8
2024,다라004585,to_in_001,8
2024,다라004597,to_in_001,8
2024,다라004600,to_in_001,8
2024,다라004601,to_in_001,0
2024,다라004611,to_in_001,5
2024,다라004626,to_in_001,8
2024,다라004676,to_in_001,0
2024,다라004682,to_in_001,8
2024,다라004685,to_in_001,5
2024,다라004698,to_in_001,8
2024,다라004699,to_in_001,13
2024,다라004700,to_in_001,13
2024,다라004701,to_in_001,5
2024,다라004706,to_in_001,5
2024,다라004831,to_in_001,5
2024,다라004832,to_in_001,5
2024,다라004849,to_in_001,13
2024,다라004850,to_in_001,5
2024,다라004851,to_in_001,5
2024,다라004862,to_in_001,5
2024,다라004870,to_in_001,8
2024,다라004871,to_in_001,5
2024,다라004920,to_in_001,0
2024,다라004921,to_in_001,13
2024,다라004922,to_in_001,13
2024,다라004954,to_in_001,5
2024,다라004955,to_in_001,13
2024,다라004956,to_in_001,8
2024,다라004964,to_in_001,5
2024,다라004965,to_in_001,5
2024,다라004992,to_in_001,8
2024,다라005072,to_in_001,8
2024,다라005073,to_in_001,8
2024,다라005204,to_in_001,5
2024,다라005205,to_in_001,5
2024,다라005208,to_in_001,5
2024,다라005215,to_in_001,5
2024,다라005225,to_in_001,0
2024,다라005231,to_in_001,8
2024,다라005317,to_in_001,5
2024,다라005399,to_in_001,0
2024,다라005400,to_in_001,0
2024,다라005426,to_in_001,8
2024,다라005448,to_in_001,8
2024,다라005449,to_in_001,5
2024,다라005453,to_in_001,18
2024,다라005454,to_in_001,8
2024,다라005455,to_in_001,0
2024,다라005457,to_in_001,0
2024,다라005461,to_in_001,38
2024,다라005462,to_in_001,5
2024,다라005463,to_in_001,5
2024,다라005469,to_in_001,201
2024,다라005470,to_in_001,427
2024,다라005471,to_in_001,221
2024,다라005472,to_in_001,153
2024,다라005473,to_in_001,166
2024,다라005502,to_in_001,5
2024,다라005503,to_in_001,5
2024,다라005506,to_in_001,5
2024,다라005507,to_in_001,8
2024,다라005512,to_in_001,5
2024,다라005534,to_in_001,0
2024,다라005535,to_in_001,13
2024,다라005536,to_in_001,8
2024,다라005538,to_in_001,13
2024,다라005539,to_in_001,5
2024,다라005545,to_in_001,5
2024,다라005570,to_in_001,5
2024,다라005571,to_in_001,5
2024,다라005572,to_in_001,5
2024,다라005574,to_in_001,5
2024,다라005583,to_in_001,0
2024,다라005584,to_in_001,5
2024,다라005585,to_in_001,5
2024,다라005586,to_in_001,0
2024,다라005600,to_in_001,18
2024,다라005601,to_in_001,8
2024,다라005611,to_in_001,5
2024,다라005612,to_in_001,8
2024,다라005632,to_in_001,0
2024,다라005689,to_in_001,5
2024,다라005690,to_in_001,5
2024,다라005698,to_in_001,5
2024,다라005699,to_in_001,5
2024,다라005700,to_in_001,13
2024,다라005701,to_in_001,5
2024,다라005702,to_in_001,23
2024,다라005706,to_in_001,8
2024,다라005707,to_in_001,5
2024,다라005830,to_in_001,5
2024,다라005849,to_in_001,23
2024,다라005850,to_in_001,13
2024,다라005851,to_in_001,0
2024,다라005852,to_in_001,5
2024,다라005921,to_in_001,5
2024,다라005922,to_in_001,5
2024,다라005957,to_in_001,5
2024,다라005958,to_in_001,8
2024,다라005965,to_in_001,8
2024,다라005966,to_in_001,8
2024,다라005967,to_in_001,5
2024,다라005992,to_in_001,5
2024,다라005993,to_in_001,8
2024,다라006072,to_in_001,20
2024,다라006073,to_in_001,18
2024,다라006074,to_in_001,35
2024,다라006201,to_in_001,0
2024,다라006202,to_in_001,5
2024,다라006205,to_in_001,8
2024,다라006206,to_in_001,5
2024,다라006208,to_in_001,0
2024,다라006216,to_in_001,0
2024,다라006311,to_in_001,0
2024,다라006404,to_in_001,0
2024,다라006453,to_in_001,8
2024,다라006456,to_in_001,8
2024,다라006457,to_in_001,8
2024,다라006458,to_in_001,28
2024,다라006459,to_in_001,8
2024,다라006461,to_in_001,5
2024,다라006462,to_in_001,14
2024,다라006463,to_in_001,8
2024,다라006468,to_in_001,422
2024,다라006469,to_in_001,647
2024,다라006470,to_in_001,8
2024,다라006471,to_in_001,163
2024,다라006472,to_in_001,424
2024,다라006473,to_in_001,455
2024,다라006485,to_in_001,55
2024,다라006486,to_in_001,5
2024,다라006490,to_in_001,8
2024,다라006501,to_in_001,8
2024,다라006503,to_in_001,0
2024,다라006506,to_in_001,13
2024,다라006507,to_in_001,5
2024,다라006508,to_in_001,8
2024,다라006509,to_in_001,8
2024,다라006512,to_in_001,5
2024,다라006529,to_in_001,5
2024,다라006530,to_in_001,0
2024,다라006535,to_in_001,5
2024,다라006536,to_in_001,5
2024,다라006537,to_in_001,5
2024,다라006538,to_in_001,8
2024,다라006539,to_in_001,5
2024,다라006564,to_in_001,0
2024,다라006565,to_in_001,0
2024,다라006573,to_in_001,5
2024,다라006577,to_in_001,5
2024,다라006598,to_in_001,5
