행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
영등포구,학원,정수학원,서울특별시 영등포구 양산로 186,입시.검정 및 보습,보통교과,보습,74,20040903,20250223
동작구,교습소,벧엘음악교습소,서울특별시 동작구 성대로29길 79,예능(대),예능(중),체르니50,16,20040902,20260719
도봉구,학원,S.O.S.U보습학원,서울특별시 도봉구 도당로 36,입시.검정 및 보습,보통교과,"보습,",60,20020719,20250525
강남구,학원,강남메트로간호종합학원,서울특별시 강남구 강남대로94길 34,직업기술,간호보조기술,"간호조무사,",626,20040728,20231018
강남구,학원,순수수학학원,서울특별시 강남구 삼성로58길 29,입시.검정 및 보습,보통교과,보습?논술,80,20040908,20260614
광진구,교습소,명문주산교습소,서울특별시 광진구 능동로6길 22,기타(대),기타(중),주산,63,20040909,20231018
송파구,교습소,기타교습소(김연태),서울특별시 송파구 한가람로 65,예능(대),예능(중),기타,6,19821104,20231018
송파구,교습소,피아노교습소(김옥선),서울특별시 송파구 송파대로,예능(대),예능(중),피아노,6,19820201,20231018
송파구,교습소,피아노교습소(김은화),서울특별시 송파구 한가람로,예능(대),예능(중),피아노,9,19820227,20231018
송파구,교습소,피아노교습소(김인희),서울특별시 송파구 한가람로,예능(대),예능(중),음악,9,19820524,20231018
송파구,교습소,미술교습소(김정남),서울특별시 송파구 한가람로,예능(대),예능(중),미술,9,19840706,20231018
강동구,교습소,피아노교습소(김정실),서울특별시 강동구 천중로,예능(대),예능(중),음악,9,19840921,20231018
구로구,교습소,엠스터디수학교습소,서울특별시 구로구 공원로 41,입시.검정 및 보습,보통교과,"초등수학(일60분,주5회)",18,20040915,20231029
강동구,교습소,피아노피아음악교습소,서울특별시 강동구 풍성로 130,예능(대),예능(중),"바이엘(주5회,회45분)",16,20040917,20240317
강동구,교습소,범산서예교습소,서울특별시 강동구 천호대로185길 98,기타(대),기타(중),서예(주4회60분),6,19920408,20250928
도봉구,학원,엠엑스단과전문학원,서울특별시 도봉구 해등로 190,입시.검정 및 보습,보통교과,보습,288,20040915,20250629
송파구,교습소,가야금교습소,서울특별시 송파구 한가람로,예능(대),예능(중),가야금,9,19820312,20231018
강동구,교습소,창의와표현미술교습소,서울특별시 강동구 명일로 102,예능(대),예능(중),"미술1(주2회,회70분)",72,20040918,20231018
강남구,교습소,책놀이터논술교습소,서울특별시 강남구 압구정로 113-22,입시.검정 및 보습,보통교과,초등논술,3,20040917,20260607
강동구,교습소,피아노교습소(김형경),서울특별시 강동구 양재대로 1340,예능(대),예능(중),음악,9,19820325,20231018
송파구,교습소,피아노교습소(김혜순),서울특별시 송파구 한가람로,예능(대),예능(중),음악,9,19820213,20231018
강남구,학원,미래탐구별관학원,서울특별시 강남구 도곡로63길 13,입시.검정 및 보습,보통교과,보습?논술,1870,20260504,20260607
강남구,학원,울림음악학원,서울특별시 강남구 개포로109길 5,예능(대),예능(중),,150,20040420,20231105
강남구,학원,대제학학원,서울특별시 강남구 압구정로34길 11,입시.검정 및 보습,보통교과,,24,20030805,20260621
강북구,학원,일등교육학원,서울특별시 강북구 삼양로 432,입시.검정 및 보습,보통교과,보습,136,20040914,20231210
강남구,학원,크레버스영재교육센터압구정제1지점학원,서울특별시 강남구 논현로175길 25,종합(대),,보습?논술,374,20030807,20260719
강남구,학원,지오보습학원,서울특별시 강남구 봉은사로55길 47,입시.검정 및 보습,보통교과,"보습,",252,20031117,20250330
종로구,학원,위아스(WIAS)국제회계학원,서울특별시 종로구 새문안로 89,인문사회(대),인문사회(중),,116,20040923,20251005
강남구,학원,송준하수학학원,서울특별시 강남구 삼성로 225,입시.검정 및 보습,보통교과,보습,110,20040924,20250413
노원구,학원,소리엘음악학원,서울특별시 노원구 노원로28길 73,예능(대),예능(중),음악,40,20040923,20240428
마포구,학원,미대편입플러스미술학원,서울특별시 마포구 와우산로 104,기예(대),기예(중),미술,105,20040930,20260802
도봉구,교습소,지앤비피아노교습소,서울특별시 도봉구 시루봉로 67,예능(대),예능(중),초등피아노,8,20040923,20250824
노원구,학원,비욘드학원,서울특별시 노원구 상계로1길 74,입시.검정 및 보습,보통교과,보습,44,20020918,20260208
서대문구,학원,드보라영어수학학원,서울특별시 서대문구 연희로 130,입시.검정 및 보습,보통교과,보습,220,20040930,20240908
강서구,학원,튼튼영어마스터클럽염창1학원,서울특별시 강서구 양천로 646-31,입시.검정 및 보습,보통교과,"보습,",840,20041004,20231018
노원구,학원,이경희고등수학전문학원,서울특별시 노원구 동일로 1533,입시.검정 및 보습,보통교과,,64,20041002,20251116
강남구,학원,에이펙스프리미엄학원,서울특별시 강남구 삼성로64길 35,입시.검정 및 보습,보통교과,보습?논술,180,20041006,20231231
강남구,학원,개념상상에스엠(SM)관학원,서울특별시 강남구 도곡로 511,입시.검정 및 보습,보통교과,보습?논술,492,20041006,20260802
서대문구,학원,정석초등학원,서울특별시 서대문구 세검정로 90,입시.검정 및 보습,보통교과,보습,18,20041006,20260201
