행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시
서초구,학원,서초발레캐슬아카데미학원,서울특별시 서초구 태봉로 68,예능(대),예능(중),"무용,",42,20210430,20231018
성북구,학원,와이즈수학학원,서울특별시 성북구 동소문로47길 22,입시.검정 및 보습,보통교과,"보습,",280,20210429,20250112
동대문구,교습소,이화아르떼피아노음악교습소,서울특별시 동대문구 장안벚꽃로1길 7,예능(대),예능(중),,36,20210430,20231018
동대문구,교습소,맑은소리피아노음악교습소,서울특별시 동대문구 한천로58길 47,예능(대),예능(중),바이엘(초급),63,20210430,20231018
마포구,학원,이화수학에듀학원,서울특별시 마포구 토정로 235,입시.검정 및 보습,보통교과,,72,20210430,20231018
노원구,교습소,개념원리수학교습소,서울특별시 노원구 노원로22길 77,입시.검정 및 보습,보통교과,,30,20210503,20240225
강동구,학원,최쌤수학학원,서울특별시 강동구 아리수로93길 9,입시.검정 및 보습,보통교과,,231,20210503,20260426
동대문구,학원,베르디음악학원,서울특별시 동대문구 휘경로 42,예능(대),예능(중),"음악,",40,20210503,20231018
강동구,교습소,나의화실미술교습소,서울특별시 강동구 풍성로45길 65,예능(대),예능(중),"미술(주1회,회200분)",16,20210504,20231018
동작구,교습소,숙명성가음악교습소,서울특별시 동작구 여의대방로 30,예능(대),,바이엘,25,20210504,20231018
관악구,교습소,에이알기타교습소,서울특별시 관악구 관악로 238,예능(대),예능(중),실용기타,6,20210504,20231018
관악구,교습소,서울대삼성영어교습소,서울특별시 관악구 청룡10길 34,국제화,외국어,영어A,36,20210504,20260301
송파구,학원,독서하브루타원격교습학원,서울특별시 송파구 가락로 187,기타(대),기타(중),기타(소),48,20210504,20260621
동대문구,교습소,하루의그림책미술교습소,서울특별시 동대문구 장안벚꽃로1길 7,예능(대),예능(중),,16,20210504,20231018
성동구,학원,아라국어논술학원,서울특별시 성동구 왕십리로 287,입시.검정 및 보습,보통교과,보습,0,20210503,20260201
성동구,학원,성동스즈키바이올린첼로음악학원,서울특별시 성동구 무학로 33,예능(대),예능(중),음악,99,20210504,20250518
영등포구,학원,의지와습관학원,서울특별시 영등포구 신길로28길 9,입시.검정 및 보습,보통교과,보습,0,20210504,20250330
영등포구,학원,하이5미술학원,서울특별시 영등포구 신풍로 118,예능(대),예능(중),미술,1008,20210504,20250622
강서구,학원,해법마곡학원,서울특별시 강서구 공항대로 103,입시.검정 및 보습,보통교과,"보습,",144,20210506,20231018
광진구,학원,위드SH수학학원,서울특별시 광진구 광나루로 582,입시.검정 및 보습,보통교과,보습,59,20210503,20250126
마포구,교습소,"매쓰,더하이(Math,TheHigh)수학교습소",서울특별시 마포구 월드컵로29길 57,입시.검정 및 보습,보통교과,중등교과수학,37,20210504,20250413
서초구,교습소,그림정원미술교습소,서울특별시 서초구 방배로42길 28,예능(대),예능(중),,16,20210504,20231018
강동구,교습소,모해온미술교습소,서울특별시 강동구 구천면로 640,예능(대),예능(중),,6,20210506,20231018
금천구,학원,가온음악학원,서울특별시 금천구 벚꽃로 114,예능(대),예능(중),음악,384,20210506,20250330
영등포구,교습소,영등포신대림한우리독서토론논술교습소,서울특별시 영등포구 디지털로77길 3-1,입시.검정 및 보습,보통교과,초등정규 독서논술(일160분*주1회*4.2주),36,20210503,20231018
금천구,교습소,세상을두드리는미술관독산역미술교습소,서울특별시 금천구 벚꽃로 114,예능(대),예능(중),미술(일170분*주1회*4.2주),24,20210506,20260607
노원구,교습소,미라클영어교습소,서울특별시 노원구 노원로 58,입시.검정 및 보습,보통교과,중등영어2,9,20210507,20250112
서초구,교습소,삼성영어서일영어교습소,서울특별시 서초구 남부순환로339길 47-1,입시.검정 및 보습,보통교과,영어(초등),21,20210507,20250601
송파구,학원,그레이스피아노학원,서울특별시 송파구 송이로32길 8,예능(대),예능(중),음악,40,20210507,20250112
