행정구역명,학원/교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,휴원시작일자,휴원종료일자,개설일자,적재일시
강남구,교습소,3000018363,숲정선수학교습소,서울특별시 강남구 삼성로 155,", 403호 (대치동,대치퍼스트)",입시.검정 및 보습,보통교과,,보습,36,3,"고등1:560000, 고등2:800000, 고등3:1300000, 중등1:480000, 중등2:680000, 초등1:300000, 기하벡터:550000",Y,N,135836,개원,20131018,,99991231,20131018,20260607
강동구,교습소,3000018367,쌤통수학교습소,서울특별시 강동구 풍성로 136,", 201호 (성내동, 성내동삼성아파트 상가동)",입시.검정 및 보습,보통교과,"초등(4.2주)(주2회,회120분)",보습,54,9,"초등(4.2주)(주2회,회120분):190000, 중등(4.2주)(주2회,회180분):280000, 고등1(4.2주)(주2회,회210분):380000, 고등2(4.2주)(주2회,회240분):430000",Y,N,5394,개원,20131022,,99991231,20131022,20250330
강서구,학원,3000018368,아트하우스(Art haus)450미술학원,서울특별시 강서구 곰달래로31길 34,", 2층 (화곡동,킴스아카데미)",예능(대),예능(중),,미술,14,56,,Y,N,157892,개원,20131021,,99991231,20131021,20231018
동작구,학원,3000018372,제이뮤직음악학원,서울특별시 동작구 상도로 346-1,"힐스테이트상도센트럴파크 상가1동 207호, 208호 일부(상도동,힐스테이트 상도 센트럴파크)",예능(대),예능(중),음악,음악,138,54,,Y,N,7039,개원,20131023,,99991231,20131023,20260426
강동구,학원,3000018373,강동아르떼음악학원,서울특별시 강동구 상일로12길 99,", 401호(상일동)",예능(대),예능(중),"음악,",음악,220,44,,Y,N,5285,개원,20131023,,99991231,20131023,20260705
송파구,교습소,3000018374,잉글리쉬리딩클럽영어교습소,서울특별시 송파구 중대로 24,", 3층, 312호 (문정동, 올림픽훼밀리타운아파트상가(1))",입시.검정 및 보습,보통교과,"초등영어(주2회,120분)",보습,20,4,"초등영어(주2회,120분):170000, 초등영어(주3회,120분):260000, 초등영어(주5회,120분):440000, 중등영어(주2회,120분):180000, 중등영어(주3회,120분):280000",N,N,5834,개원,20131023,,99991231,20131023,20231018
동작구,교습소,3000018380,연세수학교습소,서울특별시 동작구 신대방2가길 1,", 1층 일부 (신대방동)",입시.검정 및 보습,보통교과,초등수학,보습,18,6,"초등수학:140000, 중등수학:180000, 고등수학:300000",Y,N,156853,개원,20131018,,99991231,20131018,20260719
금천구,학원,3000018381,본관상상학원,서울특별시 금천구 가산로 111,", 4층 (가산동, 동보빌딩)",입시.검정 및 보습,보통교과,보습,보습,118,150,,Y,N,8520,개원,20131023,,99991231,20131023,20260201
마포구,학원,3000018386,톡톡학원,서울특별시 마포구 양화로12길 6,", 3층 (서교동)",국제화,국제,통역(성인),통역(성인),84,15,,Y,N,121840,개원,20131022,,99991231,20131022,20250727
동대문구,교습소,3000018388,파스칼수학교습소,서울특별시 동대문구 정릉천동로 58,", 202호 (용두동, 롯데캐슬피렌체)",입시.검정 및 보습,보통교과,수학(초등),보습,45,5,"수학(초등):153000, 수학(초등):184000, 수학(초등):204000, 수학(중등):234000, 수학(중등):250000, 수학(중등):325000, 수학(고등):303000, 수학(고등):301000, 수학(고등):350000",Y,N,130745,개원,20131023,,99991231,20131023,20231018
강남구,학원,3000018390,주니어학원,서울특별시 강남구 도곡로 184,", 502,503호 (도곡동,신호빌딩)",국제화,외국어,실용외국어(유아/초?중?고),실용외국어(유아/초?중?고),70,85,,Y,N,135857,개원,20131024,,99991231,20131024,20260426
은평구,학원,3000018395,슈테른음악학원,서울특별시 은평구 진관2로 29-21,", 드림스퀘어 5층 506호 (진관동,드림스퀘어)",예능(대),예능(중),음악,음악,7,50,,Y,N,122200,개원,20131028,,99991231,20131028,20240331
은평구,학원,3000018396,삼성영어서부직영학원,서울특별시 은평구 은평로8길 15-1,", 2층 (응암동)",입시.검정 및 보습,보통교과,"보습,",보습,80,60,,Y,N,122907,개원,20131024,,99991231,20131024,20231018
마포구,학원,3000018397,와이즈만영재교육학원,서울특별시 마포구 마포대로 73,", 2층 일부 (도화동, SK허브그린)",입시.검정 및 보습,보통교과,보습,보습,268,80,,Y,N,4157,개원,20131025,,99991231,20131025,20240128
양천구,학원,3000018403,미래엔수학강신초점학원,서울특별시 양천구 월정로 281,", 3층 (신월동, 상은빌딩)",입시.검정 및 보습,보통교과,보습,보습,15,30,,Y,N,7902,개원,20131025,,99991231,20131025,20250720
성북구,교습소,3000018407,뮤엠영어교습소,서울특별시 성북구 돌곶이로 74,", 2층일부 (석관동)",입시.검정 및 보습,보통교과,"초등영어(W,Y)",보습,25,5,"초등영어(W,Y):180000, 초등영어(G,P,B):190000, 초등영어(R):200000, 초등영어(Bl):210000, 중등영어(Exten):250000",Y,N,136818,개원,20131028,,99991231,20131028,20231018
노원구,학원,3000018425,데프댄스스쿨(Def Dance Skool) 댄스학원,서울특별시 노원구 상계로 55,", 5층 502호 (상계동)",기예(대),기예(중),댄스,댄스,644,98,,Y,N,139827,개원,20131030,,99991231,20131030,20250713
