연번,시설명,중분류,소분류,지역구,위치,주요시설, 부지면적(제곱미터) ,준공연도(년),주요이용연령층,이용인원(명)_연간,이용인원(명)_월간,이용인원(명)_1일평균,
73,호계 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 내서읍 광려천북로 218,게이트볼,995 ,2005,60대,2880 ,240 ,8 ,
74,삼계게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 내서읍 삼계리 197-1,게이트볼,370 ,2013,60대,2160 ,180 ,6 ,
75,석전동 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 석전1동 283-5,게이트볼,577 ,1993,60대,1440 ,120 ,4 ,
76,회성동 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 회성동 88-5번지 외 1,게이트볼,149 ,2000,60대,2160 ,180 ,6 ,
77,용마게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 양덕동 477 일원,게이트볼,560 ,1998,60대,2160 ,180 ,6 ,
78,구암1동 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 구암1동 709-3외 2,게이트볼,910 ,2003,60대,1440 ,120 ,4 ,
79,창원육교 밑 체육공원(게이트볼장),체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 구암2동 1150,게이트볼,1316 ,2002,60대,2160 ,180 ,6 ,
80,두척동 그라운드골프장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 송평로 203-171  (두척동),게이트볼,4800 ,2009,60대,2880 ,240 ,8 ,
81,합성1동 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 합성동 952-10,게이트볼,795 ,2006,60대,2160 ,180 ,6 ,
82,합성2동 게이트볼장,체육시설,게이트볼,마산회원구,경상남도 창원시 마산회원구 합성동 11-7,게이트볼,1023 ,2006,60대,2880 ,240 ,8 ,
83,영길운동장,체육시설,운동장,진해구,경상남도 창원시 진해구 남영로 500  (남양동),"축구, 테니스, 족구",15255 ,2002,전연령,30000 ,2500 ,100 ,
84,영길운동장(영길야구연습장),체육시설,운동장,진해구,경상남도 창원시 진해구 남영로 500  (남양동),야구장,1320 ,2002,유소년,,,,
85,이동 운동장,체육시설,운동장,진해구,경상남도 창원시 진해구 이동로2번길 8  (이동),"축구, 족구, 게이트볼, 배드민턴, 풋살",14617 ,2009,전연령,60000 ,5000 ,200 ,
86,용원주민운동장,체육시설,운동장,진해구,경상남도 창원시 진해구 청안동 319-5 일원,축구,18143 ,2016,전연령,75000 ,6250 ,250 ,
87,태백동스포츠파크,체육시설,운동장,진해구,경상남도 창원시 진해구 태백동 4-418,풋살,11630 ,2007,전연령,1500 ,125 ,50 ,
88,경화다목적구장,체육시설,운동장,진해구,경상남도 창원시 진해구 경화동 1213-6,"족구, 농구",2965 ,2003,전연령,1500 ,125 ,50 ,
89,풍호체육공원,체육시설,운동장,진해구,경상남도 창원시 진해구 천자로 484,"축구, 육상경기",7140 ,2001,30~40대,2150 ,180 ,6 ,
90,용원족구장,체육시설,족구장,진해구,경상남도 창원시 진해구 용원동 1122-1,족구,2073 ,2013,40~50대,7300 ,600 ,20 ,
91,석동상지족구장,체육시설,족구장,진해구,경상남도 창원시 진해구 석동 480-7,족구,,1998,40~50대,3000 ,300 ,10 ,
92,웅천족구장,체육시설,족구장,진해구,경상남도 창원시 진해구 서중동 327,족구,,2015,40~50대,3000 ,300 ,10 ,
93,장복테니스장,체육시설,테니스장,진해구,경상남도 창원시 진해구 도만동 1,테니스,,,40~50대,7300 ,600 ,20 ,
94,백구테니스장,체육시설,테니스장,진해구,경상남도 창원시 진해구 도만동 1,테니스,,,40~50대,7300 ,600 ,20 ,
95,돌산게이트볼장,체육시설,게이트볼장,진해구,경상남도 창원시 진해구 여좌동 34-19,게이트볼,336 ,1997,60~70대,5400 ,450 ,15 ,
96,충무게이트볼장,체육시설,게이트볼장,진해구,경상남도 창원시 진해구 도만동 1,게이트볼,651 ,1990,60~70대,5400 ,450 ,15 ,
97,성내 게이트볼장,체육시설,게이트볼장,진해구,경상남도 창원시 진해구 성내동 465,게이트볼,620 ,2004,60대이상,600 ,50 ,20 ,
98,마천 게이트볼장,체육시설,게이트볼장,진해구,경상남도 창원시 진해구 마천동 22-5,게이트볼,656 ,1997,60대이상,600 ,50 ,20 ,
99,벽해정,체육시설,궁도장,진해구,경상남도 창원시 진해구 진해대로 307  (태백동),궁도장,,2015,60대이상,900 ,75 ,30 ,
