stationId,stationType,stationName,stationAddress,direction,longitude,latitude,localInfo
406000620,감귤형,동광단지,서귀포시 안덕면 동광리,안덕농협-동광단지,126.359395,33.313878,동광단지경로당 맞은편
406000961,정낭형,동광리,서귀포시 안덕면 동광리,제주-모슬포,126.338367,33.306367,구 동광초교앞
406000962,정낭형,동광문화마을,서귀포시 안덕면 동광리,모슬포-제주,126.338154,33.305916,동광로 106 옆
405000284,현대카드,동광양,제주시 이도1동,제주고-국제부두,126.532223,33.502197,정플라워 앞
405000283,현대카드,동광양,제주시 이도1동,제주-서귀,126.532202,33.502021,한화생명
406001580,일반형,동광육거리,서귀포시 안덕면 동광리,"",126.341188,33.310142,""
406001965,"",동광육거리 주차장,"","",126.342361,33.312302,""
406001964,"",동광육거리 주차장,"","",126.342182,33.312398,""
405000269,정낭형,동광초등학교,제주시 일도2동,화북휴먼-하귀휴먼,126.54475,33.5014,까사미아 앞
405000268,정낭형,동광초등학교,제주시 일도2동,하귀휴먼-화북휴먼,126.545767,33.5017,에넥스탐라전시장 앞
406001654,현대카드,동광환승정류장(종점),"","",126.339323,33.310336,""
406001653,"",동광환승정류장(종점),"","",126.339365,33.310204,""
406001590,현대카드,동광환승정류장1,서귀포시 안덕면 동광리,"",126.339318,33.310207,""
406001227,현대카드,동광환승정류장2(영어교육도시방면),서귀포시 안덕면 동광리,제주-모슬포항,126.339361,33.310338,동광마트앞
406000966,현대카드,동광환승정류장3(한림방면),서귀포시 안덕면 동광리,서귀-한림,126.340517,33.310483,S-오일 주유소 맞은편(금악리방향)
406000965,현대카드,동광환승정류장4(제주방면),서귀포시 안덕면 동광리,모슬포항-제주,126.340994,33.310443,에스오일주유소 앞
406000964,현대카드,동광환승정류장5(서귀방면),서귀포시 안덕면 동광리,제주-서귀,126.340833,33.309583,창천리방향
406000963,현대카드,동광환승정류장6(모슬포방면),서귀포시 안덕면 동광리,제주-모슬포,126.340253,33.309684,에넥스탐라전시장 앞
405002550,"",동구시물,"","",126.420857,33.458804,""
405002549,"",동구시물,"","",126.420265,33.458989,""
406000067,현대카드,동남아파트,서귀포시 대륜동,중앙R-남주고,126.509984,33.249792,서귀포공인중개사사무소 우측
406000151,신형,동덕아파트,서귀포시 서홍동,신시가지-중앙R,126.560092,33.257621,남서울식당 앞
405000929,현대카드,동명리,제주시 한림읍,한림-고산,126.265878,33.409239,오가파웰빙국수앞
405000933,없음,동명리 한천동,제주시 한림읍,한림-고산,126.274188,33.394648,동명리 한천동이정표 우측
406000802,감귤형,동모루,서귀포시 남원읍 수망리,서귀-고성,126.717067,33.32785,신흥리방향
406000801,감귤형,동모루,서귀포시 남원읍 수망리,고성-서귀,126.716706,33.328089,한남리방향
406001408,각주형,동모루왓,서귀포시 성산읍 고성리,고성-서귀,126.919829,33.438936,섭지코지 방향
406001407,일반형,동모루왓,서귀포시 성산읍 고성리,신서귀-고성,126.91925,33.439004,섭지코지 반대 방향
406000358,현대카드,동문,서귀포시 대륜동,중앙R-보목포구,126.531388,33.257251,백두00 앞
406000357,일반형,동문,서귀포시 대륜동,보목-중앙R,126.531255,33.257408,호근동방향
406001448,현대카드,동문로터리,서귀포시 중앙동,중앙R-남주고,126.567955,33.249825,준포토 앞
406001447,일반형,동문로터리,서귀포시 중앙동,남주고-중앙R,126.567711,33.249827,착한휴대폰 앞
406000531,정낭형,동문로터리,서귀포시 정방동,서귀-제주,126.568592,33.248563,삼진탕 앞
406000475,신형,동문로터리,서귀포시 중앙동,제주-신서귀,126.568427,33.248727,서귀포농협동부지점 우측
405000290,구형,"동문로터리, 동문시장",제주시 일도1동,수목원-삼화지구,126.52795,33.51295,동문시장앞
405000289,현대카드,"동문로터리, 동문시장",제주시 일도1동,삼화지구-수목원,126.527055,33.513152,동문로터리산지천마당앞
405002161,각주형,동문성당,제주시 일도2동,"",126.532522,33.510318,""
405002160,각주형,동문성당,제주시 일도2동,"",126.532369,33.510067,""
406000231,현대카드,동문정류소,서귀포시 남원읍 신례리,신례1리-외돌개,126.630317,33.2888,단독주택 273호 앞
406000230,감귤형,동문정류소,서귀포시 남원읍 신례리,중앙로터리-신례1리,126.63025,33.289317,위미농협 신례지소(하례2리 방향)
406001689,일반형,동물개동산 앞,서귀포시 중문동,"",126.43105,33.240129,""
406001688,일반형,동물개동산 앞,서귀포시 중문동,"",126.431203,33.240117,""
406000326,현대카드,동미빌딩,서귀포시 중앙동,중앙R-컨벤션,126.566536,33.248585,FILA KIDS 앞
405002255,표지판형,동방남비케길,제주시 조천읍,"",126.691996,33.481877,""
405002254,현대카드,동방남비케길,제주시 조천읍,"",126.691708,33.482038,""
406001320,일반형,동백동산,서귀포시 안덕면 상창리,안덕농협-동광단지,126.367614,33.289899,카멜리아힐 앞
406001319,정낭형,동백동산,서귀포시 안덕면 상창리,동광단지-안덕농협,126.367636,33.29024,카메리아힐 건너편
405001972,현대카드,동백동산 습지센터,제주시 조천읍,"",126.714607,33.509043,""
405001971,현대카드,동백동산 습지센터,제주시 조천읍,"",126.714395,33.509324,""
406001975,"",동백방앗간,"","",126.746329,33.31713,""
406002051,"",동백수목원,"","",126.678431,33.276006,""
406002050,"",동백수목원,"","",126.677919,33.275971,""
406000087,일반형,동병듸,서귀포시 대천동,대포동-중앙R,126.463263,33.242692,반사경앞
406000086,일반형,동병듸,서귀포시 대천동,중앙R-대포동,126.463487,33.242383,비닐하우스 앞
405002446,표지판형,동복ESH주택,제주시 구좌읍,"",126.706359,33.54814,""
405001351,도시형,동복리,제주시 구좌읍,제주-서귀,126.712477,33.552896,어린이보호구역 오른쪽
405001350,도시형,동복리,제주시 구좌읍,서귀-제주,126.712711,33.553,어린이보호구역 왼쪽
405002649,"",동복리 행복공동주택,"","",126.713482,33.549129,""
405001921,신형,동복리관광체험어장,제주시 조천읍,서귀-제주,126.716066,33.553351,동복리관광체험어장입구(제주시방향)
405001912,현대카드,동복리관광체험어장,제주시 조천읍,제주-서귀,126.716543,33.553335,동복리관광체험어장입구삼거리 전봇대앞
405001352,신형,동복리휴게소,제주시 구좌읍,제주-서귀,126.707948,33.553367,동복리이정표 건너편
405000969,신형,동복리휴게소,제주시 구좌읍,서귀-제주,126.707889,33.553473,바람벽에 흰당나귀 우측
405002203,현대카드,동부경찰서,제주시 이도2동,"",126.537062,33.501587,""
405002202,현대카드,동부경찰서,제주시 이도2동,"",126.536806,33.501781,""
406001130,현대카드,동부보건소,서귀포시 남원읍 남원리,서귀-제주,126.702711,33.275111,큰엉식당 우측
406000994,농촌형,동부보건소,서귀포시 남원읍 남원리,제주-서귀,126.703383,33.275267,동부보건소 앞
405001763,표지판형,동부위생처리장 입구,제주시 조천읍,성산항-제주,126.695474,33.436457,5.16 교래리로터리 부근
405001762,없음,동부위생처리장 입구,제주시 조천읍,제주-성산,126.695387,33.436315,탐라승마장 맞은편
405001932,표지판형,동사라마을,제주시 노형동,노형-수산,126.449021,33.467917,무수천가기전 사라마을입구
405000175,현대카드,동산교,제주시 용담2동,삼화지구-한라수목원,126.510265,33.500286,GS서광로주유소 우측
406001901,"",동산물,"","",126.868775,33.436687,""
406001900,"",동산물,"","",126.868747,33.436816,""
406001903,"",동산물서,"","",126.865757,33.43473,""
406001902,"",동산물서,"","",126.865444,33.434618,""
406001859,일반형,동상동,"","",126.876702,33.383083,""
406001248,일반형,동상동,서귀포시 표선면 가시리,표선-가시리,126.77027,33.361328,비닐하우스창고앞
406001247,일반형,동상동삼거리,서귀포시 표선면 가시리,표선-가시리,126.773558,33.356265,팽나무 정자앞
406000269,일반형,동상효,서귀포시 영천동,중앙R-하례,126.6073,33.27965,주차장 앞
406000268,정낭형,동상효,서귀포시 영천동,하례-중앙R,126.607167,33.279967,토평초등학교방향
406002063,"",동상효회전교차로,"","",126.606236,33.277433,""
406002062,"",동상효회전교차로,"","",126.605327,33.276636,""
406001818,일반형,동상효회전교차로,"","",126.605914,33.276806,""
406001817,일반형,동상효회전교차로,"","",126.605785,33.276737,""
405002716,"",동샘교차로,"","",126.570733,33.467952,""
405002715,"",동샘교차로,"","",126.571218,33.468266,""
405001343,신형,동성동,제주시 구좌읍,제주-서귀,126.754628,33.555643,명진리모델링 앞
405000970,신형,동성동,제주시 구좌읍,서귀-제주,126.755449,33.555959,미화상회 우측
405000174,현대카드,동성마을,제주시 오라동,제주고-삼양,126.511035,33.500045,하이리빙 제주프라자 앞
405000080,도시형,동성마을 입구,제주시 오라동,국제부두-제주고,126.507533,33.4932,아이랜드안경 좌측
405001423,현대카드,동수동,제주시 조천읍,와산-조천,126.6225,33.517617,주황색단독주택 앞
405001422,표지판형,동수동,제주시 조천읍,조천-와산,126.622417,33.5175,조립식 단독주택앞
405002432,표지판형,동수동입구,제주시 조천읍,"",126.618431,33.520005,""
405002431,표지판형,동수동입구,제주시 조천읍,"",126.618051,33.520568,""
406001033,신형,동원산업,서귀포시 표선면 표선리,서귀-제주,126.825463,33.313032,그린카센타방향
406001032,신형,동원산업,서귀포시 표선면 표선리,제주-서귀,126.82191,33.312218,한지동방향
406000912,도시형,동일1리,서귀포시 대정읍 동일리,제주-서귀,126.243067,33.228183,동일1리 복지회관 건너편
406000911,감귤형,동일1리,서귀포시 대정읍 동일리,서귀-제주,126.242717,33.228483,동일1리 복지회관 앞
406000633,일반형,동일2리,서귀포시 대정읍 동일리,대정-한림,126.23675,33.25765,동일2리 노인회관 건너편
406000632,현대카드,동일2리,서귀포시 대정읍 동일리,"",126.236733,33.257717,""
406000952,정낭형,동일2리입구,서귀포시 대정읍 동일리,대정-한림,126.234033,33.260417,제주시방향. 동일2리 이정표 우측
406000951,신형,동일2리입구,서귀포시 대정읍 동일리,신창-대정,126.233717,33.260329,대정농공단지 방향
405002785,"",동카름,"","",126.40994,33.444006,""
406001435,정낭형,동하동,서귀포시 표선면 가시리,표선-서귀,126.777401,33.347451,가시리방향
406001434,현대카드,동하동,서귀포시 표선면 가시리,서귀-표선,126.777455,33.347259,역지동방향
406002146,"",동해수,"","",126.45132,33.26212,""
406001174,신형,동홍 사거리,서귀포시 동홍동,중앙R-위미,126.568466,33.254457,삼성전자서비스 우측
