행정구역명,학원/교습소,학원명,도로명주소,분야명,교습계열명,교습과정목록명,정원합계,개설일자,적재일시,X좌표,Y좌표,집계구코드,읍면동
노원구,교습소,공릉해법수학교습소,서울특별시 노원구 동일로192길 77,입시.검정 및 보습,보통교과,초등 특강,12,20100615,20260719,962665.558221503,1958746.49375599,11110560030005,서울특별시_노원구_공릉2동
강서구,학원,길벗뮤직아카데미학원,서울특별시 강서구 곰달래로 220,예능(대),예능(중),음악,10,20100616,20241215,943222.675102179,1948212.40363058,11160570010019,서울특별시_강서구_화곡2동
노원구,교습소,은빛2단지스마트해법수학교습소,서울특별시 노원구 동일로245가길 41,입시.검정 및 보습,,초등수학A,16,20100616,20231018,960655.621530791,1964663.85511173,11110650020302,서울특별시_노원구_상계1동
중랑구,교습소,새하얀미술교습소,서울특별시 중랑구 동일로126가길 10,예능(대),예능(중),"미술(초,중급)3",35,20100616,20260215,963169.584969454,1955522.30975801,11070610010024,서울특별시_중랑구_중화1동
영등포구,학원,하늘독서실,서울특별시 영등포구 도신로 65,독서실,독서,"독서실(유아/초?중?고),",74,20100616,20231018,946953.057346155,1945385.74289464,11190750010011,서울특별시_영등포구_도림동
노원구,학원,이엘삼성영어노원1캠퍼스학원,서울특별시 노원구 상계로1길 24,입시.검정 및 보습,보통교과,보습,90,20100623,20260809,961339.809307708,1962059.28056283,11110660030003,서울특별시_노원구_상계2동
서초구,학원,엔조이씨지(Enjoy CG)학원,서울특별시 서초구 서초대로50길 93,직업기술,산업응용기술,"디자인,",70,20100618,20231113,957029.498036102,1943424.22919127,11220530030004,서울특별시_서초구_서초3동
마포구,학원,모두다른고양이미술학원,서울특별시 마포구 와우산로23길 9,예능(대),예능(중),"미술,",760,20100621,20250928,949155.243238347,1950609.96809711,11140660030009,서울특별시_마포구_서교동
마포구,교습소,네모미술교습소,서울특별시 마포구 망원로 55,예능(대),예능(중),고급(초)1,27,20100623,20231018,947266.086834065,1951025.72632799,11140700010016,서울특별시_마포구_망원2동
은평구,학원,에듀앤아트학원,서울특별시 은평구 은평로8길 7,입시.검정 및 보습,보통교과,보습?논술,70,20100623,20240324,948875.227605278,1955727.45533955,11120590010004,서울특별시_은평구_응암1동
서대문구,교습소,한우리서대문국어교습소,서울특별시 서대문구 독립문공원길 13,입시.검정 및 보습,보통교과,"초등부(국어,논술)",3,20100622,20231018,952166.860823796,1952644.22113321,11130520020001,서울특별시_서대문구_천연동
관악구,학원,아이비음악학원,서울특별시 관악구 은천로25길 63,예능(대),예능(중),음악,44,20100624,20250309,951260.08338094,1943433.37760917,11210790010002,서울특별시_관악구_성현동
송파구,학원,바퀴달린그림책플러스미술학원,서울특별시 송파구 위례성대로12길 4-5,예능(대),예능(중),,40,20100622,20231018,966622.960362371,1946061.38698301,11240570010014,서울특별시_송파구_방이1동
서초구,교습소,생각하는힘수학교습소,서울특별시 서초구 고무래로 90-7,입시.검정 및 보습,보통교과,중등수학(주2회),25,20100623,20231018,957347.304921017,1944627.12841592,11220540020002,서울특별시_서초구_서초4동
용산구,교습소,그레이스음악교습소,서울특별시 용산구 이촌로 100-11,예능(대),예능(중),클라리넷,65,20100621,20250629,952180.342510564,1947257.25584169,11030640020201,서울특별시_용산구_이촌2동
송파구,학원,케이투알파보습학원,서울특별시 송파구 위례성대로 180,입시.검정 및 보습,보통교과,"보습,",100,20100625,20231018,967385.988742295,1945714.05842,11240600010001,서울특별시_송파구_오금동
동대문구,학원,멘토학원,서울특별시 동대문구 신이문로 37,입시.검정 및 보습,보통교과,"보습,",112,20100628,20241006,961712.601279708,1956064.48141949,11060900010002,서울특별시_동대문구_이문2동
강동구,교습소,에스에이치(SH)수학교습소,서울특별시 강동구 천중로39길 40,입시.검정 및 보습,보통교과,초등수학(주5회60분),8,20100624,20231018,968170.270329175,1949344.19459264,11250610010038,서울특별시_강동구_천호1동
강동구,학원,눈높이러닝센터천일학원,서울특별시 강동구 양재대로123길 56,입시.검정 및 보습,보통교과,보습,498,20100629,20260614,968108.086021485,1949477.70293537,11250610010043,서울특별시_강동구_천호1동
구로구,교습소,꿈꾸는음악나무음악교습소,서울특별시 구로구 구로중앙로27가길 13?,예능(대),예능(중),,20,20100630,20231029,945673.587055792,1944446.50673012,11170710030015,서울특별시_구로구_구로2동
송파구,교습소,잠실기타교습소,서울특별시 송파구 올림픽로 145,예능(대),예능(중),"기타(주4회,100분)",9,20100630,20260426,963504.139481573,1945935.55484458,11240790010127,서울특별시_송파구_잠실2동
서초구,교습소,루이독서논술교습소,서울특별시 서초구 동산로 68,입시.검정 및 보습,보통교과,논술(초등),8,20100629,20260607,959892.874444732,1941525.04608887,11220670010026,서울특별시_서초구_양재2동
강북구,교습소,뮤직인아르떼음악교습소,서울특별시 강북구 삼양로20길 27,예능(대),예능(중),"피아노(초,중급)",24,20100630,20231018,957967.309951779,1957344.74024716,11090720010021,서울특별시_강북구_송천동
강서구,교습소,윤서음악교습소,서울특별시 강서구 수명로 78,예능(대),예능(중),피아노,19,20100629,20231018,940496.870483846,1950621.92665481,11160670010017,서울특별시_강서구_발산1동
광진구,학원,임팩트학원,서울특별시 광진구 자양로 242,입시.검정 및 보습,보통교과,보습,88,20100701,20240519,963680.017956188,1949929.49654419,11050610020016,서울특별시_광진구_구의2동
송파구,교습소,엘미술클래스미술교습소,서울특별시 송파구 중대로38길 26,예능(대),예능(중),"미술(4.2주)(주1회,회220분)",3,20100701,20250330,967756.104216364,1945276.84597566,11240600020012,서울특별시_송파구_오금동
관악구,교습소,하이켈스영어교습소,서울특별시 관악구 문성로30길 23,입시.검정 및 보습,보통교과,초등영어 1,49,20100624,20260719,949459.231977242,1942264.43082759,11210650010033,서울특별시_관악구_신원동
동작구,교습소,강위청국어교습소,서울특별시 동작구 상도로 238,입시.검정 및 보습,보통교과,초등국어,18,20100608,20260719,950956.202371649,1945222.56994308,11200540010002,서울특별시_동작구_상도2동
강남구,교습소,엑셀런스엄재용영어교습소,서울특별시 강남구 도곡로 444,입시.검정 및 보습,보통교과,영어,8,20100630,20231018,961032.926024746,1944399.45530568,11230600020001,서울특별시_강남구_대치1동
강동구,학원,박현주수학학원,서울특별시 강동구 천호대로199길 19,입시.검정 및 보습,보통교과,"보습,",33,20100630,20231018,968882.943087029,1948736.99263601,11250740020052,서울특별시_강동구_길동
강서구,학원,베르티움영어리딩전문학원,서울특별시 강서구 우장산로 21-5,입시.검정 및 보습,보통교과,"보습,",298,20100629,20231018,941674.621261545,1950822.27243885,11160740010012,서울특별시_강서구_우장산동
중랑구,교습소,스마트해법수학묵현초수학교습소,서울특별시 중랑구 동일로157길 60,입시.검정 및 보습,보통교과,초등수학,12,20100702,20260607,962427.995569255,1956776.22735531,11070650010002,서울특별시_중랑구_묵2동
종로구,학원,독문화독일어통역학원,서울특별시 종로구 우정국로2길 42,국제화,국제,"통역(성인),",36,20100624,20231018,954555.296497054,1952353.47647099,11010610020001,서울특별시_종로구_종로1·2·3·4가동
