도서관명,시군구명,도서관유형,열람좌석수,자료수(도서),소재지도로명주소,운영기관명,홈페이지주소,위도,경도
장천마을작은도서관,창원시,작은도서관,42,5609,경상남도 창원시 진해구 충장로672번길 9-1(장천동),풍호동주민자치회,,35.12932964,128.7032214
위드파크환경도서관,창원시,작은도서관,64,14102,"경상남도 창원시 성산구 가양로 99(남양동, 위드파크A’)",창원환경교육센터,,35.2090325,128.703341
내서읍새마을문고,창원시,작은도서관,6,9043,경상남도 창원시 마산회원구 내서읍 중리상곡로 65,새마을문고내서읍분회,,35.24678411,128.5076502
회원1동새마을문고,창원시,작은도서관,25,8465,경상남도 창원시 마산회원구 회원동11길 7(회원동),새마을문고회원1동분회,,35.21837816,128.5740841
석전동새마을문고,창원시,작은도서관,27,11618,경상남도 창원시 마산회원구 석전4길 52(석전동),새마을문고석전동분회,,35.23027923,128.5731149
회성동새마을문고,창원시,작은도서관,10,10255,경상남도 창원시 마산회원구 북성로 327(회성동),새마을문고회성동분회,,35.23305786,128.5616938
양덕1동새마을문고,창원시,작은도서관,6,10676,경상남도 창원시 마산회원구 팔용로 25(양덕동),새마을문고양덕1동분회,,35.23230004,128.586187
양덕2동새마을문고,창원시,작은도서관,20,14382,경상남도 창원시 마산회원구 율림교로 3(양덕동),새마을문고양덕2동분회,,35.22917645,128.5839085
합성2동새마을문고,창원시,작은도서관,32,11654,경상남도 창원시 마산회원구 합성남8길 46(합성동),새마을문고합성2동분회,,35.2390217,128.5867711
구암1동새마을문고,창원시,작은도서관,15,10272,경상남도 창원시 마산회원구 구암서7길 9(구암동),새마을문고구암1동분회,,35.24976363,128.5928012
구암2동새마을문고,창원시,작은도서관,12,12462,경상남도 창원시 마산회원구 구암남16길 12(구암동),새마을문고구암2동분회,,35.24901286,128.5984288
