"X2","X4_합"
"라라2446",5
"라라2447",94
"라라2448",0
"라라2463",15
"라라2465",59
"라라2466",13
"라라2467",49
"라라2468",34
"라라2469",10
"라라2470",0
"라라2471",5
"라라2472",15
"라라2473",158
"라라2474",31
"라라2475",36
"라라2476",31
"라라2477",22
"라라2478",26
"라라2479",5
"라라2480",57
"라라2482",0
"라라2485",8
"라라2486",10
"라라2487",0
"라라2490",5
"라라2498",16
"라라2499",0
"라라2511",41
"라라2512",26
"라라2513",0
"라라2521",40
"라라2526",5
"라라2527",107
"라라2528",10
"라라2529",63
"라라2530",36
"라라2531",10
"라라2532",5
"라라2533",8
"라라2534",0
"라라2535",103
"라라2536",19
"라라2561",70
"라라2562",52
"라라2563",54
"라라2564",15
"라라2567",0
"라라2568",39
"라라2569",22
"라라2571",74
"라라2572",55
"라라2573",21
"라라2574",5
"라라2575",26
"라라2576",60
"라라2577",37
"라라2578",16
"라라2579",5
"라라2581",10
"라라2582",5
"라라2583",5
"라라2585",5
"라라2586",0
"라라2587",10
"라라2588",5
"라라2589",10
"라라2593",10
"라라2594",10
"라라2595",21
"라라2596",26
"라라2597",16
"라라2598",5
"라라2609",10
"라라2610",37
"라라2611",23
"라라2612",0
"라라2621",0
"라라2623",56
"라라2625",21
"라라2626",51
"라라2627",31
"라라2628",5
"라라2629",26
"라라2630",46
"라라2634",18
"라라2660",23
"라라2661",117
"라라2662",36
"라라2663",49
"라라2664",59
"라라2665",71
"라라2666",23
"라라2667",49
"라라2668",18
"라라2669",38
"라라2670",13
"라라2671",34
"라라2672",26
"라라2673",31
"라라2674",36
"라라2675",34
"라라2676",21
"라라2677",15
"라라2678",31
"라라2681",10
"라라2682",0
"라라2684",5
"라라2685",5
"라라2688",16
"라라2690",8
"라라2693",13
"라라2694",26
"라라2695",10
"라라2703",23
"라라2704",117
"라라2706",67
"라라2709",39
"라라2710",59
"라라2711",5
"라라2722",27
"라라2723",18
"라라2726",0
"라라2727",10
"라라2728",5
"라라2763",56
"라라2764",13
"라라2765",16
"라라2766",25
"라라2767",41
"라라2768",5
"라라2769",10
"라라2772",0
"라라2775",24
"라라2776",29
"라라2777",26
"라라2778",64
"라라2779",13
"라라2780",13
"라라2781",0
"라라2782",16
"라라2783",29
"라라2784",44
"라라2785",0
"라라2789",8
"라라2790",5
"라라2793",19
"라라2794",13
"라라2799",0
"라라2809",13
"라라2810",37
"라라2849",5
"라라2850",21
"라라2851",56
"라라2852",8
"라라2862",77
"라라2863",37
"라라2864",13
"라라2865",29
"라라2866",80
"라라2867",40
"라라2868",47
"라라2869",27
"라라2870",21
"라라2871",44
"라라2872",0
"라라2874",0
"라라2876",0
"라라2878",40
"라라2879",64
"라라2880",18
"라라2881",29
"라라2882",21
"라라2888",0
"라라2890",5
"라라2893",13
"라라2894",21
"라라2899",0
"라라2910",5
"라라2911",10
"라라2948",56
"라라2949",21
"라라2950",70
"라라2951",29
"라라2952",49
"라라2953",18
"라라2954",21
"라라2961",0
"라라2963",0
"라라2964",8
"라라2965",59
"라라2967",10
"라라2968",35
"라라2969",21
"라라2970",8
"라라2971",0
"라라2972",0
"라라2973",16
"라라2974",13
"라라2975",31
"라라2976",18
"라라2977",18
"라라2978",26
"라라2979",54
"라라2980",5
"라라2981",8
"라라2982",13
"라라2983",24
"라라2984",5
"라라2985",0
"라라2986",5
"라라2987",10
"라라2988",8
"라라2989",0
"라라2990",5
"라라2991",21
"라라2992",0
"라라2993",21
"라라2995",16
"라라2996",26
"라라2997",18
"라라2998",13
"라라2999",31
"라라3044",0
"라라3045",26
"라라3046",77
"라라3047",36
