"X1","X2","X3","X4","source_file"
2024,"라라0255","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0255","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0256","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0256","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0257","ho_yr_001",14,"2024년_주택_라라_1K.csv"
2024,"라라0257","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0257","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0258","ho_yr_001",28,"2024년_주택_라라_1K.csv"
2024,"라라0258","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0258","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0259","ho_yr_001",39,"2024년_주택_라라_1K.csv"
2024,"라라0259","ho_yr_002",18,"2024년_주택_라라_1K.csv"
2024,"라라0259","ho_yr_003",23,"2024년_주택_라라_1K.csv"
2024,"라라0260","ho_yr_001",13,"2024년_주택_라라_1K.csv"
2024,"라라0260","ho_yr_002",23,"2024년_주택_라라_1K.csv"
2024,"라라0260","ho_yr_003",162,"2024년_주택_라라_1K.csv"
2024,"라라0261","ho_yr_003",4849,"2024년_주택_라라_1K.csv"
2024,"라라0262","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0262","ho_yr_002",19,"2024년_주택_라라_1K.csv"
2024,"라라0262","ho_yr_003",4746,"2024년_주택_라라_1K.csv"
2024,"라라0263","ho_yr_001",24,"2024년_주택_라라_1K.csv"
2024,"라라0263","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0263","ho_yr_003",255,"2024년_주택_라라_1K.csv"
2024,"라라0264","ho_yr_001",8,"2024년_주택_라라_1K.csv"
2024,"라라0264","ho_yr_002",8,"2024년_주택_라라_1K.csv"
2024,"라라0264","ho_yr_003",13,"2024년_주택_라라_1K.csv"
2024,"라라0265","ho_yr_001",24,"2024년_주택_라라_1K.csv"
2024,"라라0265","ho_yr_003",5,"2024년_주택_라라_1K.csv"
2024,"라라0266","ho_yr_001",12,"2024년_주택_라라_1K.csv"
2024,"라라0266","ho_yr_002",0,"2024년_주택_라라_1K.csv"
2024,"라라0266","ho_yr_003",8,"2024년_주택_라라_1K.csv"
2024,"라라0267","ho_yr_001",5,"2024년_주택_라라_1K.csv"
2024,"라라0267","ho_yr_002",5,"2024년_주택_라라_1K.csv"
2024,"라라0267","ho_yr_003",8,"2024년_주택_라라_1K.csv"
